sq,Web TV,undefined,https://tv.balkanweb.com/news24/livestream/playlist.m3u8,audio/mpegurl; charset=utf-8,200
ar,Web Radio,undefined,http://www.islam2day.tv:3000,audio/mpegurl; charset=utf-8,200
ar,Web Radio,undefined,https://radio.al7eah.net/8010/stream,audio/mpegurl; charset=utf-8,200
ar,Web Radio,undefined,http://46.43.69.146:8008/;stream.mp3,audio/mpegurl; charset=utf-8,200
ar,Web Radio,undefined,http://rs.hadara.ps:8556/stream,audio/mpegurl; charset=utf-8,200
none,Web Cam,undefined,mms://webcams.niagarafallshotels.com/CNH-Stream2,audio/mpegurl; charset=utf-8,200
bg,Web TV,undefined,http://100automoto.tv:1935/bgtv1/Stream1/playlist.m3u8,audio/mpegurl; charset=utf-8,200
bg,Web TV,undefined,http://100automoto.tv:1935/bgtv1/autotv/playlist.m3u8,audio/mpegurl; charset=utf-8,200
bg,Web TV,undefined,http://lb-hls.cdn.bg/2006/fls/bonair.stream/playlist.m3u8,audio/mpegurl; charset=utf-8,200
bg,Web TV,undefined,https://tv.city.bg/play/tshls/citytv/2.m3u8,audio/mpegurl; charset=utf-8,200
bg,Web TV,undefined,https://transcoder1.bitcare.eu/streaming/rimextv/rmtv.m3u8,audio/mpegurl; charset=utf-8,200
bg,Web TV,undefined,https://bss1.neterra.tv/thevoice/stream_0.m3u8,audio/mpegurl; charset=utf-8,200
bg,Web TV,undefined,https://streamer103.neterra.tv/travel/live.m3u8,audio/mpegurl; charset=utf-8,200
bn,Web Radio,undefined,http://121.200.62.53:1021,audio/mpegurl; charset=utf-8,200
hr,Web TV,undefined,https://live-hls-web-ajb.getaj.net/AJB/index.m3u8,audio/mpegurl; charset=utf-8,200
hr,Web TV,undefined,rtmp://video.radio-banovina.hr/live/myStream,audio/mpegurl; charset=utf-8,200
hr,Web TV,undefined,https://best-str.umn.cdn.united.cloud/stream?stream=sp1400&sp=n1info&channel=n1hrv&u=n1info&p=n1Sh4redSecre7iNf0,audio/mpegurl; charset=utf-8,200
hr,Web TV,undefined,https://www.dailymotion.com/video/x654gen,audio/mpegurl; charset=utf-8,200
hr,Web TV,undefined,https://www.dailymotion.com/video/x670ug8,audio/mpegurl; charset=utf-8,200
hr,Web TV,undefined,https://www.dailymotion.com/video/x694rtu,audio/mpegurl; charset=utf-8,200
hr,Web TV,undefined,https://sdn-global-live-streaming-packager-cache.3qsdn.com/48519/48519_264_live.m3u8,audio/mpegurl; charset=utf-8,200
none,Web Radio,undefined,http://listen.radionomy.com/beatlesday.m3u,audio/mpegurl; charset=utf-8,200
